hhid,wage,grade92,age,agesq,ownchild,occ2012,private,female,lnwage,fem_age,citizen,spouce,atwork
130003560100156,48.07683333333333,45,47,2209,2,3060,1,0,3.8728004256064557,0,1,1,1
700409931145569,24.033333333333335,46,57,3249,3,3060,1,0,3.179441755622794,0,1,1,1
700409931145569,28.833333333333332,46,39,1521,3,3060,1,1,3.361532125269724,39,1,1,1
140328063906491,57.6922,46,41,1681,3,3060,1,1,4.0551219824004106,41,1,1,1
599630544390630,45.0,44,38,1444,3,3160,1,1,3.8066624897703196,38,1,1,1
23408025621,36.057625,45,36,1296,0,3060,0,0,3.585118353154675,0,0,0,1
1083600022641,40.0,43,57,3249,0,3220,1,1,3.6888794541139363,57,1,1,1
58056202030650,57.6922,45,34,1156,0,3060,1,1,4.0551219824004106,34,1,1,1
58056202030650,57.6922,45,34,1156,0,3060,1,0,4.0551219824004106,0,1,1,1
256080630550002,18.25,45,32,1024,0,3060,1,0,2.9041650800285006,0,1,0,1
460461092603949,24.038249999999998,45,30,900,0,3060,1,1,3.179646311676199,30,1,1,1
496099170009001,25.0,43,37,1369,2,3030,0,1,3.2188758248682006,37,1,1,1
988096835076220,44.642857142857146,46,57,3249,0,3160,1,1,3.798694320121143,57,1,0,1
59860360946296,64.10244444444444,45,44,1936,0,3060,1,1,4.1604824980582364,44,1,1,1
899030996100730,16.0255,45,29,841,0,3060,0,0,2.774181203568035,0,1,1,1
899030996100730,16.666666666666668,45,28,784,0,3060,0,1,2.8134107167600364,28,1,1,1
80036067001004,36.0,46,33,1089,0,3160,1,0,3.58351893845611,0,1,0,1
700800064300610,36.0,44,29,841,0,3150,1,1,3.58351893845611,29,1,1,1
34440380995495,17.0,43,35,1225,2,3160,1,0,2.833213344056216,0,1,1,1
180328053001112,62.5,46,61,3721,0,3060,1,0,4.135166556742356,0,1,1,1
946048947079220,35.4565625,44,52,2704,1,3150,0,1,3.5683083557327295,52,1,1,1
235074449900803,8.241714285714286,46,34,1156,1,3060,1,0,2.1092083666659507,0,1,1,1
950449670506104,17.0,45,39,1521,0,3060,1,0,2.833213344056216,0,1,0,1
640900094317149,49.5,40,48,2304,0,3220,1,1,3.901972669574645,48,1,1,1
108083406070201,72.11525,45,49,2401,0,3060,0,0,4.27826553371462,0,1,0,1
921237033903699,24.06,40,54,2916,0,3210,0,0,3.180550710546533,0,1,0,1
210750811410071,34.6152,46,39,1521,3,3160,1,0,3.544292891955273,0,1,0,1
960072921179820,57.6922,46,52,2704,1,3060,1,1,4.0551219824004106,52,1,1,1
379810214000971,31.25,40,43,1849,0,3160,1,0,3.4420193761824107,0,1,1,1
690131008413130,25.7,44,23,529,0,3060,1,1,3.246490991901174,23,1,0,1
975013944179180,46.153666666666666,46,48,2304,2,3010,1,0,3.831976408858159,0,1,1,1
307909831691156,50.0,44,57,3249,0,3150,0,1,3.912023005428146,57,1,1,1
193977800093618,20.175,46,56,3136,0,3060,1,0,3.0044442141560124,0,1,1,1
193977800093618,36.0,44,57,3249,0,3160,1,1,3.58351893845611,57,1,1,1
